true,pred
0.7067966,0.6533891
0.5446855,0.56858313
0.5654751,0.574659
0.47404814,0.40674666
0.52818984,0.6098583
0.63524103,0.6830013
1.118284,1.0230455
1.1249019,1.0438018
1.2012274,1.0842555
1.2592821,1.1199343
0.99836576,0.9490038
0.99201787,0.93340194
1.1422385,1.0523366
1.045895,0.97649753
1.0760589,0.993482
1.2016139,1.0909222
1.3964963,1.2185482
1.1205585,1.0353993
1.3037845,1.139445
1.1992179,1.0812138
1.1337492,1.040452
1.112681,1.010806
0.9725739,0.93261445
0.95684844,0.90915465
1.1605593,1.0506552
1.1040721,1.0226058
1.1116207,1.02521
1.2763082,1.1399008
0.9579091,0.9182389
1.0232453,0.95500994
0.9878889,0.9288887
1.0378287,0.9664285
1.2490213,1.1103773
1.1429069,1.0432774
1.1885571,1.0715896
1.1621841,1.0635437
1.184097,1.0644394
1.0836676,1.0076001
0.8746568,0.86083794
1.164442,1.0545677
1.1030393,1.0143948
1.0935779,1.0241184
1.0424004,0.9866313
1.2389386,1.0921446
1.1248068,1.0344349
1.3367686,1.166956
1.1486691,1.0457267
1.3308547,1.1800848
0.98998934,0.92980933
1.447341,1.2536776
1.0504054,0.9824872
0.8948824,0.86731184
1.435279,1.2470757
0.91501004,0.8832232
1.3175191,1.1460181
1.1969965,1.0880524
1.256363,1.1201144
1.2325767,1.1046689
0.92452204,0.90052843
1.230199,1.0916642
1.2537535,1.1128839
1.1594374,1.0626656
1.1456486,1.0446571
1.008865,0.93862784
1.1474493,1.036368
1.0524281,0.97830284
0.9364795,0.89352477
1.2904105,1.1546942
